state,x,y
Харківська, 160, 72
Київська, -34, 68
Сумська, 83, 112
Луганська, 243, 49
Донецька, 206, -30
Полтавська, 68, 61
Чернігівська, -2, 144
Ар Крим, 88, -165
Одеська, -36, -84
Запорізька, 136, -77
Херсонська, 64, -112
Миколаївська, -2, -57
Кіровоградська, 2, -14
Дніпропетровська, 103, -12
Черкаська, -9, 20
Вінницька, -100, 11
Хмельницька, -149, 69
Тернопільська, -198, 44
Чернівецька, -194, -15
Закарпатська, -279, 0
Івано-Франківська, -240, 21
Львівська, -252, 62
Волинська, -215, 125
Житомирська, -113, 105
Рівненська, -165, 143


